Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36373463,"Us Against You (Beartown, #2)",Fredrik Backman,"Backman, Fredrik",,"=""1501160796""","=""9781501160790""",5,4.36,Atria Books,Hardcover,448,2018,2017,,2023/06/30,,,read,,,,1,0
19318541,Tools for Conviviality,Ivan Illich,"Illich, Ivan",,"=""""","=""""",0,4.01,Marion Boyars,Kindle Edition,145,1973,1973,,2023/06/25,to-read,to-read (#35),to-read,,,,0,0
223403,Deschooling Society (Open Forum S),Ivan Illich,"Illich, Ivan",,"=""0714508799""","=""9780714508795""",0,4.00,Marion Boyars Publishers Ltd,Paperback,116,2000,1971,,2023/06/25,to-read,to-read (#34),to-read,,,,0,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",5,4.49,Simon & Schuster,ebook,320,2022,2022,,2023/06/25,,,read,,,,1,0
33413128,"Beartown (Beartown, #1)",Fredrik Backman,"Backman, Fredrik",,"=""""","=""""",5,4.29,Simon & Schuster,Kindle Edition,432,2017,2016,,2023/04/09,,,read,,,,1,0
35488858,"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store",Cait Flanders,"Flanders, Cait",,"=""1401954871""","=""9781401954871""",2,3.48,Hay House Inc.,Hardcover,189,2018,2018,2023/06/17,2023/06/04,,,read,,,,1,0
61796680,Recoding America: Why Government Is Failing in the Digital Age and How We Can Do Better,Jennifer Pahlka,"Pahlka, Jennifer",,"=""1250266777""","=""9781250266774""",0,4.54,Metropolitan Books,Hardcover,336,2023,,,2023/06/07,to-read,to-read (#33),to-read,,,,0,0
36761782,Economics for the Common Good,Jean Tirole,"Tirole, Jean",,"=""1400889146""","=""9781400889143""",2,3.92,Princeton University Press,ebook,576,2017,2016,,2023/06/04,,,read,,,,1,0
51014619,Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,"=""""","=""""",0,4.24,PublicAffairs,Kindle Edition,417,2019,2019,,2023/06/03,to-read,to-read (#32),to-read,,,,0,0
10245602,Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,"=""1586487981""","=""9781586487980""",0,4.28,PublicAffairs,Hardcover,320,2011,2011,,2023/06/03,to-read,to-read (#31),to-read,,,,0,0
31373633,And Every Morning the Way Home Gets Longer and Longer,Fredrik Backman,"Backman, Fredrik",,"=""""","=""""",5,4.33,Atria Books,Kindle Edition,97,2016,2015,,2023/04/09,,,read,,,,1,0
6763725,Capitalist Realism: Is There No Alternative?,Mark Fisher,"Fisher, Mark",,"=""1846943175""","=""9781846943171""",2,4.23,Zero Books,Paperback,81,2009,2009,,2022/12/06,,,read,,,,1,0
59366247,Bad Vibes Only (and Other Things I Bring to the Table),Nora McInerny,"McInerny, Nora",,"=""1982186712""","=""9781982186715""",4,3.88,Atria/One Signal Publishers,Hardcover,224,2022,2022,,2022/12/04,,,read,,,,1,0
81227,Infidel,Ayaan Hirsi Ali,"Ali, Ayaan Hirsi",,"=""0743289684""","=""9780743289689""",5,4.19,Free Press,Hardcover,353,2007,2006,,2023/05/05,,,read,,,,1,0
27406704,Britt-Marie Was Here,Fredrik Backman,"Backman, Fredrik",,"=""1501142534""","=""9781501142536""",5,4.09,Atria Books,Hardcover,324,2016,2014,2023/05/02,2023/04/30,,,read,,,,1,0
60855576,Kurashi at Home: How to Organize Your Space and Achieve Your Ideal Life,Marie Kondō,"Kondō, Marie",Cathy Hirano,"=""198486078X""","=""9781984860781""",2,3.59,Clarkson Potter / Ten Speed,Hardcover,224,2022,2022,2023/04/30,2023/04/27,,,read,,,,1,0
55711592,High Conflict: Why We Get Trapped and How We Get Out,Amanda Ripley,"Ripley, Amanda",,"=""1982128569""","=""9781982128562""",3,4.29,Simon & Schuster,Hardcover,368,2021,2021,2023/04/27,2023/04/15,,,read,,,,1,0
20350449,The Kindness of Strangers: Penniless Across America,Mike  McIntyre,"McIntyre, Mike",,"=""""","=""""",3,3.96,Kite Press,Kindle Edition,261,2014,1996,,2023/04/15,,,read,,,,1,0
42833687,Things My Son Needs to Know About the World,Fredrik Backman,"Backman, Fredrik",Alice Menzies,"=""1501196863""","=""9781501196867""",5,3.98,Atria Books,Hardcover,208,2019,2012,2023/04/09,2023/01/24,,,read,,,,1,0
36270125,"Your Ad Ignored Here: Cartoons from 15 Years of Marketing, Business, and Doodling in Meetings",Tom Fishburne,"Fishburne, Tom",Ann Handley,"=""""","=""""",4,4.40,"Marketoonist, LLC",Kindle Edition,214,2017,,2023/04/07,2023/04/07,,,read,,,,1,0
12349,My Year of Meats,Ruth Ozeki,"Ozeki, Ruth",,"=""0140280464""","=""9780140280463""",5,4.02,Penguin Books,Paperback,366,1999,1998,2023/04/07,2023/03/28,,,read,,,,1,0
50542354,How I Learned to Understand the World: A Memoir,Hans Rosling,"Rosling, Hans",Fanny Härgestam,"=""1250266890""","=""9781250266897""",5,4.34,Flatiron Books,Hardcover,256,2020,2017,,2023/03/28,,,read,,,,1,0
22609341,Come as You Are: The Surprising New Science that Will Transform Your Sex Life,Emily Nagoski,"Nagoski, Emily",,"=""1476762090""","=""9781476762098""",3,4.30,Simon & Schuster,Paperback,400,2015,2015,,2023/03/25,,,read,,,,1,0
23604559,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1501115065""","=""9781501115066""",4,4.08,Atria Books,Hardcover,372,2015,2013,2023/03/12,2023/03/09,,,read,,,,1,0
42872963,"The Algebra of Happiness: Notes on the Pursuit of Success, Love, and Meaning",Scott Galloway,"Galloway, Scott",,"=""0593084195""","=""9780593084199""",2,3.79,Portfolio,Hardcover,256,2019,2019,,2023/03/11,,,read,,,,1,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",3,4.28,Knopf,Hardcover,256,2021,2021,2023/03/09,2023/03/03,,,read,,,,1,0
9418327,Bossypants,Tina Fey,"Fey, Tina",,"=""""","=""""",4,3.96,Reagan Arthur Books,Kindle Edition,283,2011,2011,,2023/03/03,,,read,,,,1,0
